"District.Name","Subdistrict.Name","Facility.Name","Latitude","Longitude","newDist"
"East Khasi Hills","Mawsynram Block","Phlangwanbroi SC",25.24,91.49,4
"South West Khasi Hills","Mawkyrwat Block","Phlangdiloin SC",25.24,91.16,8
"South West Khasi Hills","Mawkyrwat Block","Umjarain SC",25.24,91.32,8
"West Garo Hills","Dalu Block","Jijikapara SC",25.25,90.23,7
"East Khasi Hills","Mawphlang Block","Mawngap SC",25.25,92.04,9
"West Jaintia Hills","Amlarem Block","Nongbareh SC",25.25,92.02,9
"South West Khasi Hills","Ranikor Block","Mawpud SC",25.25,91.21,8
"West Jaintia Hills","Amlarem Block","Khonglah SC",25.252639,92.009556,9
"South Garo Hills","Rongara Block","Rongru Asim SC",25.256556,90.694361,10
"East Khasi Hills","Mawsynram Block","Tyngnger SC",25.26,91.6,4
"South West Khasi Hills","Ranikor Block","Nongkulang SC",25.26,91.06,8
"South Garo Hills","Gasuapara Block","Rugapara SC",25.263194,90.272611,7
"West Garo Hills","Dalu Block","Halchati SC",25.2642,90.0692,11
"East Khasi Hills","Shella Bholaganj Block","Rumnong SC",25.27,91.65,4
"East Jaintia Hills","Saipung Block","Muaslei SC",25.27,92.74,9
"South Garo Hills","Baghmara Block","Karukol SC",25.28,90.65,10
"South Garo Hills","Chokpot Block","Mitapgre SC",25.28,90.42,7
"East Khasi Hills","Laitkroh Block","Mawbeh SC",25.28,91.72,4
"East Khasi Hills","Pynursla Block","Pyrnai SC",25.28,91.84,4
"South Garo Hills","Baghmara Block","Nengkong SC",25.29,90.56,10
"East Khasi Hills","Shella Bholaganj Block","Wahkaliar SC",25.29,91.67,4
"East Khasi Hills","Shella Bholaganj Block","Upper Cherra SC",25.29,91.73,4
"East Khasi Hills","Mawsynram Block","Thieddieng SC",25.29,91.55,4
"South West Khasi Hills","Mawkyrwat Block","Photjaud SC",25.29,91.26,8
"South West Khasi Hills","Mawkyrwat Block","Wahkaji SC",25.29,91.13,8
"West Garo Hills","Dalu Block","Posenggagre SC",25.3,90.12,11
"West Garo Hills","Dalu Block","Rimrangpara SC",25.3,90.26,7
"East Jaintia Hills","Khliehriat Block","Iapmala SC",25.3,92.28,9
"South Garo Hills","Baghmara Block","Rongsu Agal SC",25.31,90.79,10
"East Khasi Hills","Laitkroh Block","Mawlyndiar SC",25.31,91.74,4
"East Jaintia Hills","Saipung Block","Lelad SC",25.31,92.52,9
"West Garo Hills","Dalu Block","Sandongdapgre SC",25.32,90.11,11
"East Khasi Hills","Laitkroh Block","Kongthong SC",25.32,91.81,4
"East Khasi Hills","Shella Bholaganj Block","Mawphu SC",25.32,91.65,4
"East Khasi Hills","Mawsynram Block","Syntein SC",25.32,91.56,4
"West Khasi Hills","Nongstoin Block","Mawkadiang SC",25.32,91.13,8
"South West Khasi Hills","Mawkyrwat Block","Rangblang SC",25.32,91.17,8
"South West Khasi Hills","Mawkyrwat Block","Umdohlun SC",25.32,91.17,8
"South West Khasi Hills","Ranikor Block","Nongnah SC",25.32,91.26,8
"East Jaintia Hills","Khliehriat Block","Byndihati SC",25.32,92.36,9
"East Jaintia Hills","Saipung Block","Thuruk SC",25.32,92.7,9
"South West Garo Hills","Zikzak Block","Gopinathkilla SC",25.3215,89.9411,11
"West Khasi Hills","Mawthadraishan Block","Sohkrot SC",25.33,91.29,8
"South Garo Hills","Chokpot Block","Kenegre SC",25.33,90.45,7
"South Garo Hills","Chokpot Block","Asakgre SC",25.33,90.49,7
"East Khasi Hills","Laitkroh Block","Mawkma SC",25.33,91.74,4
"East Khasi Hills","Mawkynrew Block","Nohron SC",25.33,92.03,9
"South West Garo Hills","Zikzak Block","Debajani SC",25.33,89.9,11
"East Jaintia Hills","Khliehriat Block","Rngad SC",25.33,92.24,9
